Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2025,371.5,1199.8,7124,938.1,7358,1854,2152,1373.4,2151
2026,315.7,1101.8,3910,855.6,3959,1823.5,2313,1438.3,2313
2027,306,1267,5578,940.1,5545,1982.7,2399,1478.6,2399
2028,378.8,925.8,4834,840.3,4945,1595.5,1917,1333.3,1917
2029,310,1254.7,3664,1009.9,3678,2005.3,1865,1543.3,1865
2030,326.3,1117,2069,857.9,2140,1903.9,2235,1486.2,2235
2031,345.3,1166.3,2736,918.2,2784,1915.2,2096,1491.6,2096
2032,416.8,1090.5,5317,852,5416,1816.1,2097,1382.1,2097
2033,313,1191.6,5577,923.1,5496,1972.3,2026,1451.7,2027
2034,403,1116.4,4021,921.6,3806,1873.9,1933,1436.3,1933
2035,344.5,1121,3941,928.9,4019,1900.2,2536,1381.8,2536
2036,304.4,1180.5,2700,859.4,2736,1887.6,2188,1444.9,2188
2037,443.6,958.2,4160,769.1,4309,1742.7,1796,1314.6,1795
2038,336.2,1106.2,4424,851,4431,1838.8,1990,1402.3,1990
2039,403.4,1133.8,4068,855.7,4095,1950.1,2381,1487.1,2381
2040,332.4,1189.3,4718,863.7,4722,1939.1,2412,1482.3,2412
2041,396.1,1167.2,1578,956.8,1550,1825.7,2391,1417.7,2390
2042,307.4,1263.1,3185,1003.7,3199,1987.8,1529,1562.8,1529
2043,313.8,1186.6,3606,915.2,3604,1909.8,1689,1464.0,1690
2044,321.2,1137.4,4768,951.1,4610,1911.2,2066,1560.1,2066
2045,331.8,1115.8,2886,880.3,2910,1830.4,2118,1404.4,2118
2046,318.3,1192.5,4648,932.2,4659,1915.1,2038,1478.2,2038
2047,298.7,1259.3,4141,1003.6,4113,1999.9,2287,1537.4,2287
2048,379.4,1176,5763,919.1,5766,1919.8,1914,1466.3,1914
2049,269.7,1177,3364,923.4,3355,1930.8,2258,1501.8,2258
2050,288.2,1181.2,3377,934.1,3324,1867.6,2408,1487.1,2408
2051,405,1182.3,4663,931.5,4652,2000.3,2266,1537.4,2265
