Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2052,374.4,1036.5,2082,866.7,2079,1723.2,1758,1382.1,1757
2053,337.3,1191.2,3811,934.4,3826,1906.3,2275,1432.4,2275
2054,308.2,1253.8,4919,932.9,4937,1993.7,2277,1550.8,2277
2055,322.1,1225.9,3264,998.6,3260,1999.3,1537,1502.5,1536
2056,341.4,1274.6,5156,997,5271,2000.3,2061,1532.8,2061
2057,341.2,1194.9,3957,1009,3947,1921.1,2237,1503.5,2237
2058,334.9,1205.3,3172,947.7,3174,1939.5,1957,1483.5,1957
2059,324.2,1261.5,2547,1008.3,2535,2053.3,1931,1550.7,1931
2060,369.8,1177.6,5533,915.8,5658,1999.1,2280,1475.6,2280
2061,384.6,1112.5,3992,925.2,3991,1920.3,2214,1478.3,2214
2062,316.9,1097.4,4026,918.8,3993,1850,2378,1484.9,2378
2063,342.8,1138.6,2618,862.4,2615,1890.6,1999,1390.1,1999
2064,306.2,1046.5,1960,939.5,1965,1773.2,1917,1492.5,1917
2065,325.9,1249.1,3803,1006.6,3850,1999.1,1847,1528.7,1847
2066,326.7,1178.9,2740,916.2,2702,1875.7,2118,1481.8,2119
2067,427.6,1165.3,2481,858.9,2473,1852.6,2139,1415.1,2139
2068,261.2,1189.9,4301,1009,4223,1911.2,1983,1571.9,1983
2069,292.7,1246.4,2565,1020.7,2564,2006,1616,1573.3,1616
2070,280.8,1144.4,3960,953.5,3894,1921.6,2331,1490.2,2331
2071,301.8,1277.1,2098,1012.2,2100,2057.3,2353,1558.0,2353
2072,350.3,1174,3633,939.8,3624,1913.5,2271,1542.5,2271
2073,292.3,1343.1,3950,1016.3,3946,2095.8,2163,1583.0,2163
2074,313,1279,3092,1017.6,3092,2082.8,2408,1585.4,2405
2075,300.5,1173.7,3838,937.8,3836,1925.8,1963,1516.4,1963
2076,333.5,1258.4,3299,927.2,3291,1972.7,2120,1487.6,2120
2077,271.9,1286.1,3967,1072.9,4020,2019,2145,1574.3,2145
2078,326.5,1416.4,3753,1095.8,3659,2094.5,2422,1604.5,2422
2079,240,1467.2,4730,1128.6,4706,2179,2176,1663.7,2176
2080,362.8,1256.3,1251,939.8,1251,1973.5,2139,1481.5,2136
2081,281.2,1368.2,2570,1036.6,2486,2092.2,2577,1593.4,2577
2082,330.4,1122.6,4966,862.6,4954,1843.3,2036,1465.0,2036
2083,385.6,1198.3,4164,849.6,4161,1865.7,2464,1403.0,2464
2084,334.2,1319.6,4460,1014.4,4553,2022.9,1919,1558.0,1919
2085,343.9,1249.8,4264,1023.6,4253,1997,2385,1541.4,2385
2086,338.4,1265.1,4516,1002.7,4516,2000.1,1797,1515.8,1797
2087,286.2,1436,3772,1082.2,3820,2163.6,2108,1618.0,2108
2088,259.7,1348.2,2035,1081.5,2035,2134.3,1943,1664.8,1943
2089,272.4,1347.5,2842,1087.5,2853,2107.8,1848,1600.5,1888
2090,283,1295.4,4593,1016.2,4663,2053.3,2422,1562.7,2422
2091,277.5,1294.6,3931,1024.3,3930,1999,2153,1569.3,2153
2092,275.5,1366.2,4746,1087.9,4811,2073.9,2196,1621.3,2199
2093,309.2,1287.1,5304,1032.3,5316,2138,1716,1609.3,1716
2094,285,1360.4,3189,1023.5,3149,2100.2,2126,1613.5,2126
2095,247.1,1350.5,3364,1119.1,3368,2035.2,1363,1622.0,1363
2096,284.8,1195.8,4693,949.9,4618,1925.8,2023,1499.6,2019
2097,330.8,1233.8,3310,1007.9,3143,2008.6,1841,1528.5,1841
2098,274.4,1363.1,5483,1084.9,5415,2152.3,2277,1596.0,2277
2099,242,1458.5,3579,1119.1,3498,2223.7,2329,1680.8,2329
