Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2025,1394.7,563.8,4515,519.2,4666,1190.9,2161,1046.5,2161
2026,1164.6,487.8,3401,425.6,3410,1203.6,2100,1016.6,2100
2027,1155.4,411.1,4149,421,4149,1042.2,2234,964.0,2234
2028,1491.8,414.6,5302,416.6,5302,983.8,1987,878.0,1987
2029,1215.7,408.4,5165,344.8,5166,1030.7,1579,929.8,1579
2030,1448.1,402.5,4889,402.5,4871,898.9,2129,898.9,2129
2031,1093.8,643.8,4167,583.9,4361,1270.7,2172,1116.8,2172
2032,1169.5,640.4,3515,517.9,3595,1214.2,2458,1072.5,2458
2033,1308.7,419.4,4377,418.4,4460,1053.8,1952,1008.4,1952
2034,1279.3,494.1,4547,494.1,4547,1088.1,1623,1062.6,1623
2035,1284.9,475.8,4821,474.8,4700,1106.8,2348,1021.0,2348
2036,1282.7,486.8,3569,494.8,3571,1048.8,1555,1024.2,1555
2037,1181.6,638.6,3230,593.7,3230,1286.9,1715,1129.4,1715
2038,1093.7,558.8,2337,533.5,2335,1286.7,2007,1069.6,2007
2039,1375.8,484.5,4275,484.5,4538,1090.1,1888,1117.4,1888
2040,1189.3,337.8,5797,337.8,5783,1096.7,1944,954.5,1944
2041,1192.5,473.6,3599,473.6,3583,1185.8,2253,1061.9,2253
2042,1176.5,565.7,5124,515.9,5141,1186.8,2058,1051.8,2058
2043,1180.5,481.6,4341,420.7,4333,1174.3,2058,933.4,2058
2044,1057.8,560.6,3447,512.4,3465,1286.1,2135,1114.8,2135
2045,1358.5,491.6,3159,491.6,3288,1046.5,1835,1081.8,1835
2046,1255.8,498.1,4706,504.8,4706,1118.8,2199,1027.5,2199
2047,1181,707.4,3254,593.9,3273,1296.3,2310,1213.9,2310
2048,1203.7,415.8,3359,414.8,3324,1129.4,2457,1007.9,2457
2049,1411.9,257.8,4395,257.8,4534,804.4,1950,804.4,1950
2050,1214.2,420.3,5078,422.3,5348,1121.4,2331,874.9,2331
2051,1147,565.3,3355,504.9,3359,1184.8,1761,1098.1,1761
2052,1224.1,703.4,5412,663.4,5440,1288.3,2000,1201.5,2000
2053,1215.6,575.3,5044,527.2,5054,1198.9,2075,1033.9,2075
2054,1177.9,483.9,3995,483.9,3991,1104.2,2229,1064.2,2229
2055,1362.7,337.2,3979,337.2,3969,945.1,2124,883.5,2124
2056,1293.6,472.6,3928,423.3,3523,1023.5,2096,880.6,2096
2057,1114.3,566,5407,509.4,5407,1180.2,1998,1101.1,1998
2058,1135.1,544.5,4214,436.9,4256,1192.9,1836,1019.2,1836
2059,989.9,634.9,5531,588.3,5531,1351.2,2114,1128.8,2114
2060,1137.6,568.7,4762,577.7,4762,1282.1,1984,1104.7,1984
2061,1154.3,647.1,1924,599.2,1924,1291.3,2138,1149.6,2138
2062,1299.7,421.1,4610,421.1,4623,988,1485,891.6,1485
2063,1313.5,331.9,2726,331.9,2870,959.7,1914,999.7,1914
2064,1600.5,332.3,3735,337.6,3727,901.9,2127,861.7,2127
2065,1119.3,575.4,3013,575.4,3415,1258.7,2019,1148.6,2019
2066,1069.2,656.8,3716,595.5,3716,1353.4,1702,1119.5,1704
2067,1440.9,496.9,3976,431.9,3994,1120.3,2056,961.0,2056
2068,1263.7,633.6,4700,633.6,5007,1280.1,1280,1107.0,1280
2069,1296,498.9,2261,433,2406,1120.4,1952,973.8,1952
2070,1615.1,414,4119,364.2,4132,875.2,2392,863.7,2392
2071,1326.5,339.9,3597,339.9,3597,959.2,2217,903.8,2217
2072,1182.6,567.6,5823,513.9,5822,1189.8,2108,1020.9,2108
2073,1130.6,488.8,3766,493.2,3766,1191.3,2498,1017.2,2498
2074,1128,579.7,3840,516.5,3867,1193.9,2090,1062.1,2090
2075,1298.5,412.6,3487,414.6,3797,1044.5,2333,951.1,2333
2076,1403.5,498.2,3442,438.4,3442,1145.6,1970,1039.9,1971
2077,1100.1,578,2410,519.8,2407,1200.6,2030,1041.9,2030
2078,1182.3,410.3,3952,410.3,3952,1025.3,1902,964.5,1902
2079,1170.2,569.4,5075,513.1,5069,1235.1,1782,1070.8,1782
2080,1408.9,414.7,4686,338.1,4686,943.4,2353,922.6,2354
2081,1323.9,498.4,5097,442.6,4984,1104.4,2295,938.9,2295
2082,1152.5,561.3,4497,525.1,4480,1250.2,1973,1059.3,1973
2083,1095.2,720.6,3023,592.7,3026,1354.4,2195,1214.5,2195
2084,1340.5,419.4,4840,422.3,4840,1056.9,1458,954.7,1458
2085,1071.7,562.6,3871,435.4,3871,1262.7,1644,1041.2,1644
2086,1277.2,480.6,4627,504.8,4633,1126,2333,1018.9,2333
2087,1192.7,488.6,2875,434.7,2875,1105.8,2081,947.7,2081
2088,1198.2,412.7,3477,333.5,3477,1117.3,2176,846.6,2176
2089,1203.5,478.6,4169,432.3,4256,1112.4,2212,1019.4,2212
2090,963.4,721.3,3256,670.7,3256,1414.7,1892,1280.3,1892
2091,1109.2,566.9,4314,580.4,4309,1263.7,2193,1060.5,2193
2092,1246.5,549.7,3710,502.6,3717,1205.6,1683,1105.1,1683
2093,1081,503.9,3310,443.7,3291,1193.5,2058,1074.9,2058
2094,1092.5,563.1,2339,523,2370,1193.9,1983,1132.8,1983
2095,1404.5,486.6,5151,483.8,5102,1124.4,1451,1041.6,1451
2096,1144.9,577,4620,562.8,4264,1271.4,1916,1114.7,1916
2097,1253.8,345.1,3696,345.1,3697,1043.8,2180,904.6,2180
2098,1001.3,735.3,3790,682.3,3943,1430.4,1876,1214.9,1876
2099,1001.7,631.5,5205,604.9,5205,1344.6,2038,1138.6,2038
